GEO.id,Geography,Families Median income (dollars),Families Mean income (dollars)
0500000US37171,"Surry County, North Carolina",45179,57208
0500000US37179,"Union County, North Carolina",71554,94221
0500000US37183,"Wake County, North Carolina",84021,106796
0500000US37191,"Wayne County, North Carolina",43625,57710
0500000US37193,"Wilkes County, North Carolina",43644,54159
0500000US37195,"Wilson County, North Carolina",45095,61439
0500000US38015,"Burleigh County, North Dakota",80453,99830
0500000US38017,"Cass County, North Dakota",73149,99748
0500000US38035,"Grand Forks County, North Dakota",62316,85711
0500000US38101,"Ward County, North Dakota",81410,97844
0500000US39003,"Allen County, Ohio",54697,66413
0500000US39007,"Ashtabula County, Ohio",50140,59069
0500000US39013,"Belmont County, Ohio",56126,67632
0500000US39017,"Butler County, Ohio",75373,92243
0500000US39023,"Clark County, Ohio",52795,64656
0500000US39025,"Clermont County, Ohio",75242,90526
0500000US39029,"Columbiana County, Ohio",52034,66871
0500000US39035,"Cuyahoga County, Ohio",59679,80943
0500000US39041,"Delaware County, Ohio",115758,143305
0500000US39043,"Erie County, Ohio",63969,76808
0500000US39045,"Fairfield County, Ohio",73532,86377
0500000US39049,"Franklin County, Ohio",67147,86328
0500000US39055,"Geauga County, Ohio",80416,105371
0500000US39057,"Greene County, Ohio",79420,92164
0500000US39061,"Hamilton County, Ohio",66703,90242
0500000US39063,"Hancock County, Ohio",60584,74583
0500000US39081,"Jefferson County, Ohio",49500,63727
0500000US39085,"Lake County, Ohio",71199,86217
0500000US39089,"Licking County, Ohio",71872,81327
0500000US39093,"Lorain County, Ohio",65795,79516
0500000US39095,"Lucas County, Ohio",55850,75335
